responseid,dv,contest,winner,sample,female_respondent,orig_cand_female,c_gender,replication,first_orig,c_experience,c_childern,c_occupation,c_age,c_spouse_occupation,r_PID
1016usa voter,2,3,0,usa voter,0,1,Female,0,NA,orig_1ys,orig_0ch,orig_teach,orig_29,orig_UN_sp,democrat_respondent
1185usa voter,3,1,1,usa voter,1,0,Male,0,NA,orig_1ys,orig_0ch,orig_teach,orig_29,orig_UN_sp,democrat_respondent
1440usa voter,3,2,0,usa voter,1,1,Female,0,NA,orig_1ys,orig_0ch,orig_teach,orig_29,orig_UN_sp,democrat_respondent
1502usa voter,2,3,0,usa voter,0,0,Male,0,NA,orig_1ys,orig_0ch,orig_teach,orig_29,orig_UN_sp,democrat_respondent
1615usa voter,1,1,1,usa voter,1,1,Female,0,NA,orig_1ys,orig_0ch,orig_teach,orig_29,orig_UN_sp,democrat_respondent
1681usa voter,1,1,0,usa voter,0,1,Female,0,NA,orig_1ys,orig_0ch,orig_teach,orig_29,orig_UN_sp,democrat_respondent
1856usa voter,2,3,0,usa voter,0,0,Male,0,NA,orig_1ys,orig_0ch,orig_teach,orig_29,orig_UN_sp,democrat_respondent
R_0DjpSAHG3ctXLylusa leg,3,2,1,usa leg,1,0,Male,0,NA,orig_1ys,orig_0ch,orig_teach,orig_29,orig_UN_sp,democrat_respondent
R_0ctr0Bdwmbpjf81usa leg,2,1,0,usa leg,1,1,Female,0,NA,orig_1ys,orig_0ch,orig_teach,orig_29,orig_UN_sp,democrat_respondent
R_0ctr0Bdwmbpjf81usa leg,2,2,0,usa leg,1,0,Male,0,NA,orig_1ys,orig_0ch,orig_teach,orig_29,orig_UN_sp,democrat_respondent
R_38eONyncBax6DEpusa leg,1,2,0,usa leg,1,0,Male,0,NA,orig_1ys,orig_0ch,orig_teach,orig_29,orig_UN_sp,democrat_respondent
R_3DlQVRN0fzglZrfusa leg,3,3,0,usa leg,0,1,Female,0,NA,orig_1ys,orig_0ch,orig_teach,orig_29,orig_UN_sp,democrat_respondent
R_3VI49Evzb4Xljlrusa leg,1,2,0,usa leg,0,1,Female,0,NA,orig_1ys,orig_0ch,orig_teach,orig_29,orig_UN_sp,democrat_respondent
R_7NUDq30KY67u2uVusa leg,3,1,0,usa leg,0,0,Male,0,NA,orig_1ys,orig_0ch,orig_teach,orig_29,orig_UN_sp,democrat_respondent
R_8iXATrP6BmdsrGZusa leg,1,2,0,usa leg,0,1,Female,0,NA,orig_1ys,orig_0ch,orig_teach,orig_29,orig_UN_sp,democrat_respondent
R_bxB3pMUSOEhnw7Xusa leg,2,1,0,usa leg,0,0,Male,0,NA,orig_1ys,orig_0ch,orig_teach,orig_29,orig_UN_sp,democrat_respondent
R_cNOufMvtl30Lxwpusa leg,2,3,0,usa leg,0,0,Male,0,NA,orig_1ys,orig_0ch,orig_teach,orig_29,orig_UN_sp,democrat_respondent
R_d42k1e9FnEzRVeRusa leg,1,1,1,usa leg,0,0,Male,0,NA,orig_1ys,orig_0ch,orig_teach,orig_29,orig_UN_sp,democrat_respondent
R_ey8C2s5WY5dcCZnusa leg,2,1,0,usa leg,1,0,Male,0,NA,orig_1ys,orig_0ch,orig_teach,orig_29,orig_UN_sp,democrat_respondent
142380usa leg,NA,1,0,usa leg,0,1,Female,1,1,orig_1ys,orig_0ch,orig_teach,orig_29,orig_UN_sp,democrat_respondent
163064usa leg,NA,2,0,usa leg,1,0,Male,1,1,orig_1ys,orig_0ch,orig_teach,orig_29,orig_UN_sp,democrat_respondent
13usa voter,1,2,0,usa voter,0,1,Female,0,NA,orig_3ys,orig_0ch,orig_teach,orig_29,orig_UN_sp,democrat_respondent
397usa voter,1,1,1,usa voter,1,1,Female,0,NA,orig_3ys,orig_0ch,orig_teach,orig_29,orig_UN_sp,democrat_respondent
578usa voter,2,2,1,usa voter,1,1,Female,0,NA,orig_3ys,orig_0ch,orig_teach,orig_29,orig_UN_sp,democrat_respondent
589usa voter,1,2,1,usa voter,1,0,Male,0,NA,orig_3ys,orig_0ch,orig_teach,orig_29,orig_UN_sp,democrat_respondent
658usa voter,1,2,0,usa voter,1,1,Female,0,NA,orig_3ys,orig_0ch,orig_teach,orig_29,orig_UN_sp,democrat_respondent
779usa voter,2,2,0,usa voter,1,0,Male,0,NA,orig_3ys,orig_0ch,orig_teach,orig_29,orig_UN_sp,democrat_respondent
1144usa voter,1,2,0,usa voter,0,0,Male,0,NA,orig_3ys,orig_0ch,orig_teach,orig_29,orig_UN_sp,democrat_respondent
1148usa voter,2,2,0,usa voter,0,0,Male,0,NA,orig_3ys,orig_0ch,orig_teach,orig_29,orig_UN_sp,democrat_respondent
1503usa voter,3,3,1,usa voter,1,1,Female,0,NA,orig_3ys,orig_0ch,orig_teach,orig_29,orig_UN_sp,democrat_respondent
1616usa voter,2,3,0,usa voter,1,1,Female,0,NA,orig_3ys,orig_0ch,orig_teach,orig_29,orig_UN_sp,democrat_respondent
1755usa voter,3,1,0,usa voter,0,1,Female,0,NA,orig_3ys,orig_0ch,orig_teach,orig_29,orig_UN_sp,democrat_respondent
1824usa voter,3,3,1,usa voter,1,0,Male,0,NA,orig_3ys,orig_0ch,orig_teach,orig_29,orig_UN_sp,democrat_respondent
2069usa voter,2,2,0,usa voter,1,0,Male,0,NA,orig_3ys,orig_0ch,orig_teach,orig_29,orig_UN_sp,democrat_respondent
2257usa voter,1,1,0,usa voter,1,0,Male,0,NA,orig_3ys,orig_0ch,orig_teach,orig_29,orig_UN_sp,democrat_respondent
2258usa voter,2,1,0,usa voter,1,1,Female,0,NA,orig_3ys,orig_0ch,orig_teach,orig_29,orig_UN_sp,democrat_respondent
R_42asFgwGA4ac8Pbusa leg,3,2,0,usa leg,0,1,Female,0,NA,orig_3ys,orig_0ch,orig_teach,orig_29,orig_UN_sp,democrat_respondent
R_4MH2XMynYBX50k5usa leg,1,1,0,usa leg,1,0,Male,0,NA,orig_3ys,orig_0ch,orig_teach,orig_29,orig_UN_sp,democrat_respondent
R_50vE71OCYgGvEclusa leg,3,2,0,usa leg,1,1,Female,0,NA,orig_3ys,orig_0ch,orig_teach,orig_29,orig_UN_sp,democrat_respondent
R_54KSv8UVeI6ykBLusa leg,2,2,0,usa leg,0,1,Female,0,NA,orig_3ys,orig_0ch,orig_teach,orig_29,orig_UN_sp,democrat_respondent
R_6nyPMNmK3ABQU61usa leg,1,2,0,usa leg,1,1,Female,0,NA,orig_3ys,orig_0ch,orig_teach,orig_29,orig_UN_sp,democrat_respondent
R_8f5pfMYhos4auodusa leg,3,2,1,usa leg,0,0,Male,0,NA,orig_3ys,orig_0ch,orig_teach,orig_29,orig_UN_sp,democrat_respondent
R_8ivl4bK3EDofCx7usa leg,1,1,0,usa leg,1,0,Male,0,NA,orig_3ys,orig_0ch,orig_teach,orig_29,orig_UN_sp,democrat_respondent
R_8laoZ7f1XA5yc0lusa leg,2,2,0,usa leg,NA,1,Female,0,NA,orig_3ys,orig_0ch,orig_teach,orig_29,orig_UN_sp,democrat_respondent
R_bC8bTZVIcFJYFQVusa leg,3,2,0,usa leg,0,0,Male,0,NA,orig_3ys,orig_0ch,orig_teach,orig_29,orig_UN_sp,democrat_respondent
R_bkJMoQu0UFfl1tjusa leg,3,1,0,usa leg,0,1,Female,0,NA,orig_3ys,orig_0ch,orig_teach,orig_29,orig_UN_sp,democrat_respondent
R_efVSj8HOh2eS4Bfusa leg,1,2,0,usa leg,1,1,Female,0,NA,orig_3ys,orig_0ch,orig_teach,orig_29,orig_UN_sp,democrat_respondent
162118usa leg,NA,2,0,usa leg,0,1,Female,1,1,orig_3ys,orig_0ch,orig_teach,orig_29,orig_UN_sp,democrat_respondent
198usa voter,3,1,0,usa voter,1,1,Female,0,NA,orig_8ys,orig_0ch,orig_teach,orig_29,orig_UN_sp,democrat_respondent
236usa voter,2,2,1,usa voter,1,0,Male,0,NA,orig_8ys,orig_0ch,orig_teach,orig_29,orig_UN_sp,democrat_respondent
695usa voter,2,1,0,usa voter,1,1,Female,0,NA,orig_8ys,orig_0ch,orig_teach,orig_29,orig_UN_sp,democrat_respondent
896usa voter,2,1,0,usa voter,1,1,Female,0,NA,orig_8ys,orig_0ch,orig_teach,orig_29,orig_UN_sp,democrat_respondent
1195usa voter,1,3,0,usa voter,1,1,Female,0,NA,orig_8ys,orig_0ch,orig_teach,orig_29,orig_UN_sp,democrat_respondent
1373usa voter,2,3,0,usa voter,0,1,Female,0,NA,orig_8ys,orig_0ch,orig_teach,orig_29,orig_UN_sp,democrat_respondent
1743usa voter,3,3,1,usa voter,1,1,Female,0,NA,orig_8ys,orig_0ch,orig_teach,orig_29,orig_UN_sp,democrat_respondent
2163usa voter,3,2,0,usa voter,1,1,Female,0,NA,orig_8ys,orig_0ch,orig_teach,orig_29,orig_UN_sp,democrat_respondent
R_01eC0oFhk3uBLUxusa leg,2,1,0,usa leg,1,1,Female,0,NA,orig_8ys,orig_0ch,orig_teach,orig_29,orig_UN_sp,democrat_respondent
R_0pjdxH78dHuAw0Busa leg,2,1,0,usa leg,0,0,Male,0,NA,orig_8ys,orig_0ch,orig_teach,orig_29,orig_UN_sp,democrat_respondent
R_0udzikh7IMWLPApusa leg,2,3,1,usa leg,1,1,Female,0,NA,orig_8ys,orig_0ch,orig_teach,orig_29,orig_UN_sp,democrat_respondent
R_1yNyD6KTi1lslUhusa leg,3,3,1,usa leg,0,0,Male,0,NA,orig_8ys,orig_0ch,orig_teach,orig_29,orig_UN_sp,democrat_respondent
R_3g9eU1pXHmrjJ41usa leg,2,1,1,usa leg,0,1,Female,0,NA,orig_8ys,orig_0ch,orig_teach,orig_29,orig_UN_sp,democrat_respondent
R_5iD634vllKnmNnLusa leg,1,1,1,usa leg,NA,0,Male,0,NA,orig_8ys,orig_0ch,orig_teach,orig_29,orig_UN_sp,democrat_respondent
R_5sB1EbTIFMFf5shusa leg,3,2,1,usa leg,0,0,Male,0,NA,orig_8ys,orig_0ch,orig_teach,orig_29,orig_UN_sp,democrat_respondent
R_8DkgDO787NaJwZDusa leg,1,2,0,usa leg,1,1,Female,0,NA,orig_8ys,orig_0ch,orig_teach,orig_29,orig_UN_sp,democrat_respondent
R_bIWiAqZ8LHiGT53usa leg,2,1,0,usa leg,1,0,Male,0,NA,orig_8ys,orig_0ch,orig_teach,orig_29,orig_UN_sp,democrat_respondent
R_bKiXdWYCsPjfneJusa leg,1,3,1,usa leg,1,1,Female,0,NA,orig_8ys,orig_0ch,orig_teach,orig_29,orig_UN_sp,democrat_respondent
R_bwP4n4FmgsJYrPfusa leg,3,2,1,usa leg,1,1,Female,0,NA,orig_8ys,orig_0ch,orig_teach,orig_29,orig_UN_sp,democrat_respondent
160048usa leg,NA,2,1,usa leg,0,0,Male,1,1,orig_8ys,orig_0ch,orig_teach,orig_29,orig_UN_sp,democrat_respondent
164740usa leg,NA,2,1,usa leg,0,1,Female,1,1,orig_8ys,orig_0ch,orig_teach,orig_29,orig_UN_sp,democrat_respondent
93usa voter,3,2,1,usa voter,1,1,Female,0,NA,orig_0ys,orig_1ch,orig_teach,orig_29,orig_UN_sp,democrat_respondent
206usa voter,2,1,0,usa voter,1,0,Male,0,NA,orig_0ys,orig_1ch,orig_teach,orig_29,orig_UN_sp,democrat_respondent
487usa voter,1,3,0,usa voter,1,0,Male,0,NA,orig_0ys,orig_1ch,orig_teach,orig_29,orig_UN_sp,democrat_respondent
660usa voter,3,1,0,usa voter,1,1,Female,0,NA,orig_0ys,orig_1ch,orig_teach,orig_29,orig_UN_sp,democrat_respondent
734usa voter,2,3,0,usa voter,0,1,Female,0,NA,orig_0ys,orig_1ch,orig_teach,orig_29,orig_UN_sp,democrat_respondent
1173usa voter,3,3,1,usa voter,1,1,Female,0,NA,orig_0ys,orig_1ch,orig_teach,orig_29,orig_UN_sp,democrat_respondent
1188usa voter,3,3,1,usa voter,1,1,Female,0,NA,orig_0ys,orig_1ch,orig_teach,orig_29,orig_UN_sp,democrat_respondent
1333usa voter,1,1,1,usa voter,1,1,Female,0,NA,orig_0ys,orig_1ch,orig_teach,orig_29,orig_UN_sp,democrat_respondent
1498usa voter,1,1,1,usa voter,1,0,Male,0,NA,orig_0ys,orig_1ch,orig_teach,orig_29,orig_UN_sp,democrat_respondent
1554usa voter,3,1,0,usa voter,0,1,Female,0,NA,orig_0ys,orig_1ch,orig_teach,orig_29,orig_UN_sp,democrat_respondent
1698usa voter,3,2,1,usa voter,1,1,Female,0,NA,orig_0ys,orig_1ch,orig_teach,orig_29,orig_UN_sp,democrat_respondent
1775usa voter,2,3,0,usa voter,0,0,Male,0,NA,orig_0ys,orig_1ch,orig_teach,orig_29,orig_UN_sp,democrat_respondent
2027usa voter,2,2,0,usa voter,1,1,Female,0,NA,orig_0ys,orig_1ch,orig_teach,orig_29,orig_UN_sp,democrat_respondent
2217usa voter,3,3,1,usa voter,0,1,Female,0,NA,orig_0ys,orig_1ch,orig_teach,orig_29,orig_UN_sp,democrat_respondent
2254usa voter,1,1,1,usa voter,0,0,Male,0,NA,orig_0ys,orig_1ch,orig_teach,orig_29,orig_UN_sp,democrat_respondent
2265usa voter,3,1,0,usa voter,0,1,Female,0,NA,orig_0ys,orig_1ch,orig_teach,orig_29,orig_UN_sp,democrat_respondent
R_9RMa7qeNuXcLT25usa leg,2,1,0,usa leg,0,0,Male,0,NA,orig_0ys,orig_1ch,orig_teach,orig_29,orig_UN_sp,democrat_respondent
R_cBfG66DoRhkbfsVusa leg,1,3,1,usa leg,0,1,Female,0,NA,orig_0ys,orig_1ch,orig_teach,orig_29,orig_UN_sp,democrat_respondent
71800usa leg,NA,1,1,usa leg,0,1,Female,1,1,orig_0ys,orig_1ch,orig_teach,orig_29,orig_UN_sp,democrat_respondent
109190usa leg,NA,1,0,usa leg,0,0,Male,1,1,orig_0ys,orig_1ch,orig_teach,orig_29,orig_UN_sp,democrat_respondent
98usa voter,2,2,1,usa voter,1,0,Male,0,NA,orig_1ys,orig_1ch,orig_teach,orig_29,orig_UN_sp,democrat_respondent
218usa voter,2,1,1,usa voter,1,1,Female,0,NA,orig_1ys,orig_1ch,orig_teach,orig_29,orig_UN_sp,democrat_respondent
397usa voter,1,3,1,usa voter,1,0,Male,0,NA,orig_1ys,orig_1ch,orig_teach,orig_29,orig_UN_sp,democrat_respondent
420usa voter,3,1,1,usa voter,1,0,Male,0,NA,orig_1ys,orig_1ch,orig_teach,orig_29,orig_UN_sp,democrat_respondent
603usa voter,3,2,1,usa voter,1,1,Female,0,NA,orig_1ys,orig_1ch,orig_teach,orig_29,orig_UN_sp,democrat_respondent
886usa voter,1,3,1,usa voter,1,0,Male,0,NA,orig_1ys,orig_1ch,orig_teach,orig_29,orig_UN_sp,democrat_respondent
922usa voter,1,2,0,usa voter,1,1,Female,0,NA,orig_1ys,orig_1ch,orig_teach,orig_29,orig_UN_sp,democrat_respondent
1196usa voter,2,2,0,usa voter,1,1,Female,0,NA,orig_1ys,orig_1ch,orig_teach,orig_29,orig_UN_sp,democrat_respondent
1274usa voter,2,2,1,usa voter,0,1,Female,0,NA,orig_1ys,orig_1ch,orig_teach,orig_29,orig_UN_sp,democrat_respondent
1417usa voter,1,2,0,usa voter,0,0,Male,0,NA,orig_1ys,orig_1ch,orig_teach,orig_29,orig_UN_sp,democrat_respondent
1435usa voter,1,1,1,usa voter,0,0,Male,0,NA,orig_1ys,orig_1ch,orig_teach,orig_29,orig_UN_sp,democrat_respondent
1582usa voter,1,2,1,usa voter,1,0,Male,0,NA,orig_1ys,orig_1ch,orig_teach,orig_29,orig_UN_sp,democrat_respondent
1670usa voter,2,2,1,usa voter,0,0,Male,0,NA,orig_1ys,orig_1ch,orig_teach,orig_29,orig_UN_sp,democrat_respondent
1716usa voter,3,3,0,usa voter,1,0,Male,0,NA,orig_1ys,orig_1ch,orig_teach,orig_29,orig_UN_sp,democrat_respondent
1951usa voter,1,3,0,usa voter,0,0,Male,0,NA,orig_1ys,orig_1ch,orig_teach,orig_29,orig_UN_sp,democrat_respondent
2050usa voter,1,3,1,usa voter,1,1,Female,0,NA,orig_1ys,orig_1ch,orig_teach,orig_29,orig_UN_sp,democrat_respondent
R_1GJENkxwC4uozeRusa leg,2,3,1,usa leg,1,1,Female,0,NA,orig_1ys,orig_1ch,orig_teach,orig_29,orig_UN_sp,democrat_respondent
R_3OgfosYid2HrJjvusa leg,2,1,0,usa leg,1,0,Male,0,NA,orig_1ys,orig_1ch,orig_teach,orig_29,orig_UN_sp,democrat_respondent
R_3eXkIEVNp34jmIZusa leg,3,1,1,usa leg,0,1,Female,0,NA,orig_1ys,orig_1ch,orig_teach,orig_29,orig_UN_sp,democrat_respondent
R_5jAfZim4hsUpwlTusa leg,1,1,0,usa leg,1,0,Male,0,NA,orig_1ys,orig_1ch,orig_teach,orig_29,orig_UN_sp,democrat_respondent
R_9TY0zzA8r2cGZGRusa leg,3,1,0,usa leg,0,1,Female,0,NA,orig_1ys,orig_1ch,orig_teach,orig_29,orig_UN_sp,democrat_respondent
R_a8WhtpTiNP0MmTXusa leg,1,3,0,usa leg,0,0,Male,0,NA,orig_1ys,orig_1ch,orig_teach,orig_29,orig_UN_sp,democrat_respondent
R_aWcE5uAVXyqarDnusa leg,3,3,1,usa leg,0,0,Male,0,NA,orig_1ys,orig_1ch,orig_teach,orig_29,orig_UN_sp,democrat_respondent
R_b9pkBhTwYzlrwrzusa leg,1,2,0,usa leg,1,0,Male,0,NA,orig_1ys,orig_1ch,orig_teach,orig_29,orig_UN_sp,democrat_respondent
R_d4lJTUIHPHkn0R7usa leg,2,2,0,usa leg,0,0,Male,0,NA,orig_1ys,orig_1ch,orig_teach,orig_29,orig_UN_sp,democrat_respondent
158663usa leg,NA,2,0,usa leg,0,0,Male,1,1,orig_1ys,orig_1ch,orig_teach,orig_29,orig_UN_sp,democrat_respondent
163064usa leg,NA,1,0,usa leg,1,0,Male,1,1,orig_1ys,orig_1ch,orig_teach,orig_29,orig_UN_sp,democrat_respondent
45usa voter,3,2,1,usa voter,0,0,Male,0,NA,orig_3ys,orig_1ch,orig_teach,orig_29,orig_UN_sp,democrat_respondent
385usa voter,1,2,0,usa voter,1,0,Male,0,NA,orig_3ys,orig_1ch,orig_teach,orig_29,orig_UN_sp,democrat_respondent
589usa voter,1,1,1,usa voter,1,0,Male,0,NA,orig_3ys,orig_1ch,orig_teach,orig_29,orig_UN_sp,democrat_respondent
715usa voter,1,1,0,usa voter,1,0,Male,0,NA,orig_3ys,orig_1ch,orig_teach,orig_29,orig_UN_sp,democrat_respondent
974usa voter,2,1,1,usa voter,1,1,Female,0,NA,orig_3ys,orig_1ch,orig_teach,orig_29,orig_UN_sp,democrat_respondent
974usa voter,2,3,0,usa voter,1,1,Female,0,NA,orig_3ys,orig_1ch,orig_teach,orig_29,orig_UN_sp,democrat_respondent
1055usa voter,2,3,1,usa voter,1,0,Male,0,NA,orig_3ys,orig_1ch,orig_teach,orig_29,orig_UN_sp,democrat_respondent
1077usa voter,3,1,1,usa voter,0,0,Male,0,NA,orig_3ys,orig_1ch,orig_teach,orig_29,orig_UN_sp,democrat_respondent
1554usa voter,3,3,1,usa voter,0,1,Female,0,NA,orig_3ys,orig_1ch,orig_teach,orig_29,orig_UN_sp,democrat_respondent
1847usa voter,2,2,1,usa voter,1,0,Male,0,NA,orig_3ys,orig_1ch,orig_teach,orig_29,orig_UN_sp,democrat_respondent
2138usa voter,2,3,1,usa voter,0,1,Female,0,NA,orig_3ys,orig_1ch,orig_teach,orig_29,orig_UN_sp,democrat_respondent
2278usa voter,1,2,1,usa voter,1,1,Female,0,NA,orig_3ys,orig_1ch,orig_teach,orig_29,orig_UN_sp,democrat_respondent
R_1A0l6rrbmtybjIFusa leg,2,2,0,usa leg,0,1,Female,0,NA,orig_3ys,orig_1ch,orig_teach,orig_29,orig_UN_sp,democrat_respondent
R_1AB4NRUI6z701ffusa leg,3,1,0,usa leg,1,0,Male,0,NA,orig_3ys,orig_1ch,orig_teach,orig_29,orig_UN_sp,democrat_respondent
R_9tyttzRAOvUykVnusa leg,2,3,0,usa leg,1,1,Female,0,NA,orig_3ys,orig_1ch,orig_teach,orig_29,orig_UN_sp,democrat_respondent
R_ba5oUqsuP8SVKOpusa leg,3,2,0,usa leg,0,0,Male,0,NA,orig_3ys,orig_1ch,orig_teach,orig_29,orig_UN_sp,democrat_respondent
R_eLp32pl5Aukvt7nusa leg,3,3,0,usa leg,0,1,Female,0,NA,orig_3ys,orig_1ch,orig_teach,orig_29,orig_UN_sp,democrat_respondent
78994usa leg,NA,2,1,usa leg,0,1,Female,1,1,orig_3ys,orig_1ch,orig_teach,orig_29,orig_UN_sp,democrat_respondent
87578usa leg,NA,3,0,usa leg,0,0,Male,1,1,orig_3ys,orig_1ch,orig_teach,orig_29,orig_UN_sp,democrat_respondent
433usa voter,1,3,1,usa voter,1,1,Female,0,NA,orig_8ys,orig_1ch,orig_teach,orig_29,orig_UN_sp,democrat_respondent
467usa voter,2,2,0,usa voter,1,1,Female,0,NA,orig_8ys,orig_1ch,orig_teach,orig_29,orig_UN_sp,democrat_respondent
1212usa voter,3,3,0,usa voter,1,0,Male,0,NA,orig_8ys,orig_1ch,orig_teach,orig_29,orig_UN_sp,democrat_respondent
1275usa voter,3,2,0,usa voter,0,0,Male,0,NA,orig_8ys,orig_1ch,orig_teach,orig_29,orig_UN_sp,democrat_respondent
1464usa voter,3,3,0,usa voter,0,0,Male,0,NA,orig_8ys,orig_1ch,orig_teach,orig_29,orig_UN_sp,democrat_respondent
2064usa voter,3,2,1,usa voter,1,1,Female,0,NA,orig_8ys,orig_1ch,orig_teach,orig_29,orig_UN_sp,democrat_respondent
2126usa voter,2,1,1,usa voter,0,1,Female,0,NA,orig_8ys,orig_1ch,orig_teach,orig_29,orig_UN_sp,democrat_respondent
R_08tF5rpZXOZrnF3usa leg,3,2,1,usa leg,1,1,Female,0,NA,orig_8ys,orig_1ch,orig_teach,orig_29,orig_UN_sp,democrat_respondent
R_0OlrmhpNa3XrH8Nusa leg,2,2,0,usa leg,NA,1,Female,0,NA,orig_8ys,orig_1ch,orig_teach,orig_29,orig_UN_sp,democrat_respondent
R_23RLjq0isQF6ZyRusa leg,1,1,1,usa leg,1,0,Male,0,NA,orig_8ys,orig_1ch,orig_teach,orig_29,orig_UN_sp,democrat_respondent
R_9EPSIbwRdK9x3ffusa leg,2,3,0,usa leg,0,1,Female,0,NA,orig_8ys,orig_1ch,orig_teach,orig_29,orig_UN_sp,democrat_respondent
R_abpIf7PmcUJny2Fusa leg,2,3,0,usa leg,0,1,Female,0,NA,orig_8ys,orig_1ch,orig_teach,orig_29,orig_UN_sp,democrat_respondent
R_afKQjVZPdFbvdA1usa leg,3,3,1,usa leg,0,1,Female,0,NA,orig_8ys,orig_1ch,orig_teach,orig_29,orig_UN_sp,democrat_respondent
R_bBoWm6zPQMrca1fusa leg,2,3,0,usa leg,0,0,Male,0,NA,orig_8ys,orig_1ch,orig_teach,orig_29,orig_UN_sp,democrat_respondent
