contest_no,win,comp,policy_index,valence_index,Gender,Age,Race,Job,Political,Party,democrat,republican,resp_pid_7,resp_pid_3_text,resp_mturkid,same_party,mturk_clean
5,1,50,7,5,Female,45,White,Business Executive,None,Independent,1,0,3,Democrat, A321UTTHJSC5PO,0,8
5,0,52,5,3,Female,45,Black,Business Executive,Representative in Congress,Republican,1,0,3,Democrat, A321UTTHJSC5PO,0,8
1,0,61,7,5,Female,45,Black,Attorney,City Council Member,non-partisan,0,1,6,Republican, A38W25GHHBY0Y2,1,9
1,1,71,8,7,Female,55,Hispanic,Police Officer,City Council Member,non-partisan,0,1,6,Republican, A38W25GHHBY0Y2,1,9
2,0,65,8,5,Male,65,Hispanic,Police Officer,City Council Member,non-partisan,0,1,6,Republican, A38W25GHHBY0Y2,1,9
2,1,69,7,6,Male,55,Black,Attorney,State Legislator,non-partisan,0,1,6,Republican, A38W25GHHBY0Y2,1,9
3,1,82,9,6,Female,45,White,Attorney,State Legislator,non-partisan,0,1,6,Republican, A38W25GHHBY0Y2,1,9
3,0,78,8,5,Male,65,Hispanic,Educator,Mayor,non-partisan,0,1,6,Republican, A38W25GHHBY0Y2,1,9
4,1,76,8,6,Female,65,Black,Small Business Owner,Representative in Congress,non-partisan,0,1,6,Republican, A38W25GHHBY0Y2,1,9
4,0,22,7,5,Female,45,Black,Small Business Owner,None,non-partisan,0,1,6,Republican, A38W25GHHBY0Y2,1,9
5,0,69,8,6,Male,35,Hispanic,Attorney,City Council Member,Democrat,0,1,6,Republican, A38W25GHHBY0Y2,0,9
5,1,79,8,7,Female,35,Hispanic,Educator,Mayor,Republican,0,1,6,Republican, A38W25GHHBY0Y2,0,9
1,1,81,7,3,Female,65,Black,Educator,State Legislator,non-partisan,1,0,2,Democrat, A3B6MXB6B2ACAA,1,10
1,0,20,11,5,Male,55,White,Business Executive,None,non-partisan,1,0,2,Democrat, A3B6MXB6B2ACAA,1,10
2,1,81,8,4,Male,35,Black,Attorney,City Council Member,non-partisan,1,0,2,Democrat, A3B6MXB6B2ACAA,1,10
2,0,81,8,4,Female,35,Hispanic,Educator,City Council Member,non-partisan,1,0,2,Democrat, A3B6MXB6B2ACAA,1,10
3,0,81,8,5,Female,65,Hispanic,Attorney,None,non-partisan,1,0,2,Democrat, A3B6MXB6B2ACAA,1,10
3,1,26,8,5,Female,65,Asian,Educator,State Legislator,non-partisan,1,0,2,Democrat, A3B6MXB6B2ACAA,1,10
4,1,80,8,5,Female,55,Hispanic,Educator,State Legislator,Democrat,1,0,2,Democrat, A3B6MXB6B2ACAA,1,10
4,0,23,8,5,Male,45,Hispanic,Educator,None,Democrat,1,0,2,Democrat, A3B6MXB6B2ACAA,1,10
5,1,82,8,5,Female,35,Asian,Educator,Mayor,Independent,1,0,2,Democrat, A3B6MXB6B2ACAA,0,10
5,0,69,6,5,Female,35,Black,Attorney,Representative in Congress,Democrat,1,0,2,Democrat, A3B6MXB6B2ACAA,0,10
1,1,73,7,5,Female,35,Hispanic,Attorney,None,non-partisan,1,0,3,Democrat, A3EPIFIE8WBVVK,1,11
1,0,62,5,5,Male,45,Hispanic,Educator,Mayor,non-partisan,1,0,3,Democrat, A3EPIFIE8WBVVK,1,11
2,0,58,8,7,Male,65,Black,Police Officer,State Legislator,non-partisan,1,0,3,Democrat, A3EPIFIE8WBVVK,1,11
2,1,75,8,5,Male,55,Asian,Business Executive,State Legislator,non-partisan,1,0,3,Democrat, A3EPIFIE8WBVVK,1,11
3,1,72,7,7,Male,35,White,Educator,Mayor,non-partisan,1,0,3,Democrat, A3EPIFIE8WBVVK,1,11
3,0,62,8,3,Male,55,Black,Police Officer,None,non-partisan,1,0,3,Democrat, A3EPIFIE8WBVVK,1,11
4,0,54,6,3,Female,35,Asian,Small Business Owner,None,Democrat,1,0,3,Democrat, A3EPIFIE8WBVVK,0,11
4,1,82,11,6,Female,65,Hispanic,Attorney,Mayor,Republican,1,0,3,Democrat, A3EPIFIE8WBVVK,0,11
5,1,83,8,7,Female,55,Black,Business Executive,State Legislator,non-partisan,1,0,3,Democrat, A3EPIFIE8WBVVK,1,11
5,0,64,8,3,Female,55,Black,Police Officer,Representative in Congress,non-partisan,1,0,3,Democrat, A3EPIFIE8WBVVK,1,11
1,0,75,8,4,Male,65,White,Attorney,Representative in Congress,Democrat,1,0,2,Democrat, A3J9EHZQ9PERAX,0,12
1,1,75,8,4,Male,35,Hispanic,Attorney,Representative in Congress,Independent,1,0,2,Democrat, A3J9EHZQ9PERAX,0,12
2,1,76,8,4,Male,35,Black,Business Executive,City Council Member,non-partisan,1,0,2,Democrat, A3J9EHZQ9PERAX,1,12
2,0,62,8,4,Male,45,White,Educator,None,non-partisan,1,0,2,Democrat, A3J9EHZQ9PERAX,1,12
3,0,70,8,4,Male,55,White,Attorney,None,non-partisan,1,0,2,Democrat, A3J9EHZQ9PERAX,1,12
3,1,70,8,4,Female,45,Hispanic,Attorney,None,non-partisan,1,0,2,Democrat, A3J9EHZQ9PERAX,1,12
4,1,60,9,4,Male,65,Hispanic,Business Executive,Representative in Congress,Independent,1,0,2,Democrat, A3J9EHZQ9PERAX,1,12
4,0,49,8,4,Male,35,Asian,Police Officer,Representative in Congress,Independent,1,0,2,Democrat, A3J9EHZQ9PERAX,1,12
5,0,70,8,4,Male,55,Hispanic,Attorney,None,non-partisan,1,0,2,Democrat, A3J9EHZQ9PERAX,1,12
5,1,67,8,4,Male,35,Black,Small Business Owner,State Legislator,non-partisan,1,0,2,Democrat, A3J9EHZQ9PERAX,1,12
1,0,46,8,3,Male,35,Black,Business Executive,City Council Member,Republican,0,1,7,Republican, A3KX2D8LETH2KB,0,13
1,1,90,9,4,Male,45,Asian,Attorney,None,Democrat,0,1,7,Republican, A3KX2D8LETH2KB,0,13
2,0,48,9,3,Male,45,Hispanic,Small Business Owner,Representative in Congress,non-partisan,0,1,7,Republican, A3KX2D8LETH2KB,1,13
2,1,87,7,6,Female,55,Hispanic,Business Executive,Representative in Congress,non-partisan,0,1,7,Republican, A3KX2D8LETH2KB,1,13
3,0,54,7,4,Female,35,White,Small Business Owner,None,non-partisan,0,1,7,Republican, A3KX2D8LETH2KB,1,13
3,1,99,8,5,Female,45,Asian,Small Business Owner,Representative in Congress,non-partisan,0,1,7,Republican, A3KX2D8LETH2KB,1,13
4,0,17,8,4,Male,45,Black,Attorney,Representative in Congress,Republican,0,1,7,Republican, A3KX2D8LETH2KB,0,13
4,1,96,8,6,Female,65,Asian,Small Business Owner,State Legislator,Independent,0,1,7,Republican, A3KX2D8LETH2KB,0,13
5,0,44,9,3,Female,55,Black,Police Officer,State Legislator,Republican,0,1,7,Republican, A3KX2D8LETH2KB,1,13
5,1,84,8,5,Male,65,Hispanic,Educator,Representative in Congress,Republican,0,1,7,Republican, A3KX2D8LETH2KB,1,13
1,0,72,8,6,Male,65,Black,Attorney,None,non-partisan,1,0,2,Democrat, AAHZCL4LIPCBQ,1,14
1,1,78,8,5,Male,35,Asian,Business Executive,State Legislator,non-partisan,1,0,2,Democrat, AAHZCL4LIPCBQ,1,14
2,1,82,8,6,Male,35,Black,Attorney,Representative in Congress,non-partisan,1,0,2,Democrat, AAHZCL4LIPCBQ,1,14
2,0,71,7,5,Male,35,White,Educator,None,non-partisan,1,0,2,Democrat, AAHZCL4LIPCBQ,1,14
3,0,81,9,6,Male,35,White,Police Officer,Mayor,Democrat,1,0,2,Democrat, AAHZCL4LIPCBQ,1,14
3,1,94,8,6,Female,55,Hispanic,Attorney,City Council Member,Democrat,1,0,2,Democrat, AAHZCL4LIPCBQ,1,14
4,1,91,8,6,Female,35,White,Attorney,City Council Member,non-partisan,1,0,2,Democrat, AAHZCL4LIPCBQ,1,14
4,0,76,8,5,Male,35,White,Business Executive,Mayor,non-partisan,1,0,2,Democrat, AAHZCL4LIPCBQ,1,14
5,0,90,8,6,Male,45,White,Police Officer,Mayor,non-partisan,1,0,2,Democrat, AAHZCL4LIPCBQ,1,14
5,1,82,8,5,Female,65,Black,Attorney,City Council Member,non-partisan,1,0,2,Democrat, AAHZCL4LIPCBQ,1,14
1,1,81,11,3,Female,35,Hispanic,Small Business Owner,City Council Member,non-partisan,0,0,4,Independent, ACNHKXWKZRUZ5,1,15
1,0,33,11,3,Male,45,Asian,Business Executive,City Council Member,non-partisan,0,0,4,Independent, ACNHKXWKZRUZ5,1,15
2,1,51,12,4,Male,35,Hispanic,Business Executive,Mayor,Republican,0,0,4,Independent, ACNHKXWKZRUZ5,1,15
2,0,51,12,4,Male,35,White,Business Executive,Mayor,Republican,0,0,4,Independent, ACNHKXWKZRUZ5,1,15
3,0,16,4,2,Male,45,Black,Police Officer,City Council Member,non-partisan,0,0,4,Independent, ACNHKXWKZRUZ5,1,15
3,1,89,10,6,Female,45,Asian,Police Officer,Mayor,non-partisan,0,0,4,Independent, ACNHKXWKZRUZ5,1,15
4,0,38,11,4,Female,55,Black,Business Executive,State Legislator,non-partisan,0,0,4,Independent, ACNHKXWKZRUZ5,1,15
4,1,81,11,6,Male,55,White,Police Officer,Mayor,non-partisan,0,0,4,Independent, ACNHKXWKZRUZ5,1,15
5,1,80,9,2,Female,35,Black,Educator,None,non-partisan,0,0,4,Independent, ACNHKXWKZRUZ5,1,15
5,0,76,9,2,Female,35,Black,Business Executive,State Legislator,non-partisan,0,0,4,Independent, ACNHKXWKZRUZ5,1,15
1,0,75,6,5,Female,35,White,Small Business Owner,Representative in Congress,non-partisan,0,1,5,Republican, AG3B15R0RU21U,1,16
1,1,77,9,6,Female,35,Hispanic,Police Officer,City Council Member,non-partisan,0,1,5,Republican, AG3B15R0RU21U,1,16
2,0,72,7,4,Female,45,White,Police Officer,Representative in Congress,Independent,0,1,5,Republican, AG3B15R0RU21U,0,16
2,1,72,9,5,Male,65,Black,Police Officer,None,Republican,0,1,5,Republican, AG3B15R0RU21U,0,16
3,0,79,8,5,Female,35,Black,Attorney,State Legislator,non-partisan,0,1,5,Republican, AG3B15R0RU21U,1,16
3,1,84,8,6,Female,45,Asian,Police Officer,State Legislator,non-partisan,0,1,5,Republican, AG3B15R0RU21U,1,16
4,1,90,8,6,Male,65,Hispanic,Small Business Owner,Mayor,non-partisan,0,1,5,Republican, AG3B15R0RU21U,1,16
4,0,77,10,4,Female,45,White,Business Executive,State Legislator,non-partisan,0,1,5,Republican, AG3B15R0RU21U,1,16
5,0,68,7,6,Female,65,Black,Attorney,Mayor,non-partisan,0,1,5,Republican, AG3B15R0RU21U,1,16
5,1,88,9,6,Male,35,White,Business Executive,Mayor,non-partisan,0,1,5,Republican, AG3B15R0RU21U,1,16
1,1,81,7,6,Female,65,Asian,Attorney,Mayor,non-partisan,1,0,3,Democrat, AJOMOSI9XX4B3,1,17
1,0,49,9,6,Female,45,Asian,Small Business Owner,State Legislator,non-partisan,1,0,3,Democrat, AJOMOSI9XX4B3,1,17
2,0,61,5,6,Female,45,Hispanic,Attorney,State Legislator,non-partisan,1,0,3,Democrat, AJOMOSI9XX4B3,1,17
2,1,86,8,3,Male,65,Asian,Educator,City Council Member,non-partisan,1,0,3,Democrat, AJOMOSI9XX4B3,1,17
3,0,28,7,7,Female,45,Black,Police Officer,None,Independent,1,0,3,Democrat, AJOMOSI9XX4B3,0,17
3,1,61,12,5,Male,55,White,Small Business Owner,City Council Member,Democrat,1,0,3,Democrat, AJOMOSI9XX4B3,0,17
4,1,67,9,2,Male,35,White,Small Business Owner,Mayor,Independent,1,0,3,Democrat, AJOMOSI9XX4B3,0,17
4,0,39,7,6,Male,45,Black,Police Officer,Mayor,Democrat,1,0,3,Democrat, AJOMOSI9XX4B3,0,17
5,1,70,8,6,Female,45,Black,Police Officer,Representative in Congress,non-partisan,1,0,3,Democrat, AJOMOSI9XX4B3,1,17
5,0,47,8,5,Male,55,Black,Educator,State Legislator,non-partisan,1,0,3,Democrat, AJOMOSI9XX4B3,1,17
1,1,81,9,5,Female,55,Black,Educator,Mayor,Democrat,0,1,6,Republican, AVCTTPJ8BNM51,1,18
1,0,74,9,5,Female,45,Hispanic,Police Officer,None,Democrat,0,1,6,Republican, AVCTTPJ8BNM51,1,18
2,1,86,9,7,Male,65,Hispanic,Police Officer,None,non-partisan,0,1,6,Republican, AVCTTPJ8BNM51,1,18
2,0,86,7,5,Male,35,Hispanic,Attorney,City Council Member,non-partisan,0,1,6,Republican, AVCTTPJ8BNM51,1,18
3,0,84,9,5,Female,55,Black,Attorney,Mayor,Republican,0,1,6,Republican, AVCTTPJ8BNM51,1,18
3,1,85,7,6,Male,45,Hispanic,Police Officer,Mayor,Republican,0,1,6,Republican, AVCTTPJ8BNM51,1,18
4,0,68,8,6,Female,35,Hispanic,Police Officer,None,Republican,0,1,6,Republican, AVCTTPJ8BNM51,0,18
4,1,81,8,5,Female,65,Black,Police Officer,Mayor,Independent,0,1,6,Republican, AVCTTPJ8BNM51,0,18
5,0,65,8,6,Male,45,Hispanic,Educator,None,Democrat,0,1,6,Republican, AVCTTPJ8BNM51,0,18
5,1,86,9,6,Male,65,Asian,Police Officer,City Council Member,Republican,0,1,6,Republican, AVCTTPJ8BNM51,0,18
1,1,54,10,4,Male,55,Asian,Small Business Owner,Representative in Congress,Democrat,1,0,2,Democrat, AYSU43QQ7MRHW,0,19
1,0,50,6,4,Male,45,White,Educator,City Council Member,Independent,1,0,2,Democrat, AYSU43QQ7MRHW,0,19
2,1,28,8,3,Male,35,Black,Attorney,City Council Member,non-partisan,1,0,2,Democrat, AYSU43QQ7MRHW,1,19
2,0,27,8,5,Male,35,Hispanic,Police Officer,City Council Member,non-partisan,1,0,2,Democrat, AYSU43QQ7MRHW,1,19
3,0,80,6,6,Male,65,Hispanic,Police Officer,City Council Member,Republican,1,0,2,Democrat, AYSU43QQ7MRHW,0,19
3,1,60,5,6,Female,55,Hispanic,Educator,Mayor,Democrat,1,0,2,Democrat, AYSU43QQ7MRHW,0,19
4,0,31,7,3,Male,45,Asian,Attorney,Representative in Congress,Republican,1,0,2,Democrat, AYSU43QQ7MRHW,1,19
4,1,46,9,3,Female,45,White,Police Officer,Mayor,Republican,1,0,2,Democrat, AYSU43QQ7MRHW,1,19
5,1,81,8,5,Female,55,Hispanic,Business Executive,State Legislator,Democrat,1,0,2,Democrat, AYSU43QQ7MRHW,0,19
5,0,48,8,3,Female,45,Hispanic,Business Executive,Representative in Congress,Republican,1,0,2,Democrat, AYSU43QQ7MRHW,0,19
1,0,1,8,1,Male,65,White,Police Officer,Representative in Congress,Republican,0,0,4,Independent,68994533,1,20
1,1,5,10,2,Male,55,Asian,Small Business Owner,State Legislator,Republican,0,0,4,Independent,68994533,1,20
2,0,1,8,3,Male,65,Hispanic,Police Officer,Mayor,non-partisan,0,0,4,Independent,68994533,1,20
2,1,4,9,3,Male,65,White,Small Business Owner,None,non-partisan,0,0,4,Independent,68994533,1,20
3,0,2,7,2,Male,35,White,Business Executive,City Council Member,Republican,0,0,4,Independent,68994533,0,20
3,1,1,7,2,Female,45,Black,Business Executive,City Council Member,Independent,0,0,4,Independent,68994533,0,20
4,0,1,7,1,Female,55,Black,Educator,None,non-partisan,0,0,4,Independent,68994533,1,20
4,1,3,7,1,Female,65,White,Attorney,City Council Member,non-partisan,0,0,4,Independent,68994533,1,20
5,0,1,7,2,Female,55,Asian,Police Officer,Mayor,Independent,0,0,4,Independent,68994533,1,20
5,1,3,7,1,Female,55,Asian,Small Business Owner,City Council Member,Independent,0,0,4,Independent,68994533,1,20
1,1,75,8,6,Female,65,Asian,Attorney,Mayor,non-partisan,1,0,1,Democrat,923056999,1,21
1,0,70,8,4,Male,35,White,Business Executive,State Legislator,non-partisan,1,0,1,Democrat,923056999,1,21
2,1,75,8,6,Female,65,Asian,Attorney,None,Democrat,1,0,1,Democrat,923056999,0,21
2,0,65,8,4,Male,65,Asian,Small Business Owner,None,Republican,1,0,1,Democrat,923056999,0,21
3,1,75,8,4,Male,55,Black,Small Business Owner,Mayor,Democrat,1,0,1,Democrat,923056999,0,21
3,0,66,8,4,Male,45,Hispanic,Small Business Owner,None,Independent,1,0,1,Democrat,923056999,0,21
4,1,75,8,4,Male,35,Black,Attorney,State Legislator,Democrat,1,0,1,Democrat,923056999,0,21
4,0,66,8,4,Female,35,White,Business Executive,Representative in Congress,Republican,1,0,1,Democrat,923056999,0,21
5,0,61,8,4,Female,35,Hispanic,Police Officer,Mayor,Independent,1,0,1,Democrat,923056999,0,21
5,1,75,8,4,Male,55,Black,Small Business Owner,Representative in Congress,Democrat,1,0,1,Democrat,923056999,0,21
1,1,100,8,7,Female,45,White,Educator,City Council Member,non-partisan,1,0,2,Democrat,A100VV1V2XDQI7,1,22
1,0,100,8,4,Female,45,Asian,Business Executive,Representative in Congress,non-partisan,1,0,2,Democrat,A100VV1V2XDQI7,1,22
2,1,100,8,7,Male,45,Hispanic,Small Business Owner,City Council Member,Independent,1,0,2,Democrat,A100VV1V2XDQI7,0,22
2,0,79,8,3,Male,45,Asian,Business Executive,City Council Member,Democrat,1,0,2,Democrat,A100VV1V2XDQI7,0,22
3,0,80,9,3,Male,55,White,Business Executive,City Council Member,non-partisan,1,0,2,Democrat,A100VV1V2XDQI7,1,22
3,1,100,8,7,Male,45,Hispanic,Business Executive,City Council Member,non-partisan,1,0,2,Democrat,A100VV1V2XDQI7,1,22
4,0,88,7,6,Female,65,Asian,Police Officer,State Legislator,non-partisan,1,0,2,Democrat,A100VV1V2XDQI7,1,22
4,1,100,9,6,Male,45,Hispanic,Business Executive,State Legislator,non-partisan,1,0,2,Democrat,A100VV1V2XDQI7,1,22
5,1,100,7,5,Female,55,Hispanic,Business Executive,Representative in Congress,Independent,1,0,2,Democrat,A100VV1V2XDQI7,0,22
