"","Duration (in seconds)","Finished","ResponseId","Q578","Q579","Q580","Q271_1","Q271_2","Q271_3","Q271_4","Q271_5","Q271_6","Q78","Q77","Q76","Q75","Q74","Q581","F-1-1","F-1-1-1","F-1-2","F-1-1-2","F-1-3","F-1-1-3","F-1-2-1","F-1-2-2","F-1-2-3","F-2-1","F-2-1-1","F-2-2","F-2-1-2","F-2-3","F-2-1-3","F-2-2-1","F-2-2-2","F-2-2-3","F-3-1","F-3-1-1","F-3-2","F-3-1-2","F-3-3","F-3-1-3","F-3-2-1","F-3-2-2","F-3-2-3","duration_mins","scaled_duration_mins"
"11",335,TRUE,"R_24OFOSYJXZCXmBw","Candidate 1","Candidate 1","Candidate 1","5","1 - Strongly disagree","6","3","2","6","Employed, full-time","Caucasian","Bachelor degree","Male",22,"Never","Penal proceedings","The candidate is under investigation for corruption","Policy Proposal","Acceptance of immigrants conditional on certain requisites","Past Political Experience","Approximately 20 years","The candidate is under investigation for corruption","Welcome immigrants and organise human corridor","Approximately 10 years","Penal proceedings","No proceedings","Policy Proposal","Collective expulsion of immigrants and closure of the border","Past Political Experience","None","The candidate has been convicted of corruption","Acceptance of immigrants conditional on certain requisites","Approximately 20 years","Penal proceedings","No proceedings","Policy Proposal","Welcome immigrants and organise human corridor","Past Political Experience","None","The candidate has been convicted of corruption","Welcome immigrants and organise human corridor","Approximately 10 years",5.58333333333333,-0.572862422101956
"12",422,TRUE,"R_3mmiuIi78fc8vvc","Candidate 1","Candidate 2","Candidate 2","6","2","7 - Strongly agree","5","2","6","Employed, full-time","Caucasian","Bachelor degree","Male",38,"Never","Past Political Experience","Approximately 20 years","Policy Proposal","Acceptance of immigrants conditional on certain requisites","Penal proceedings","No proceedings","Approximately 10 years","Welcome immigrants and organise human corridor","The candidate is under investigation for corruption","Past Political Experience","Approximately 20 years","Policy Proposal","Collective expulsion of immigrants and closure of the border","Penal proceedings","The candidate has been convicted of corruption","Approximately 20 years","Acceptance of immigrants conditional on certain requisites","No proceedings","Past Political Experience","Approximately 10 years","Policy Proposal","Welcome immigrants and organise human corridor","Penal proceedings","The candidate has been convicted of corruption","None","Acceptance of immigrants conditional on certain requisites","No proceedings",7.03333333333333,-0.46750472047569
"13",414,TRUE,"R_1q2HPmX240idyzu","Candidate 2","Candidate 2","Candidate 1","7 - Strongly agree","1 - Strongly disagree","4 - Neither agree nor disagree","3","4 - Neither agree nor disagree","5","Employed, full-time","Caucasian","Bachelor degree","Female",47,"Sometimes","Penal proceedings","The candidate is under investigation for corruption","Policy Proposal","Welcome immigrants and organise human corridor","Past Political Experience","None","The candidate is under investigation for corruption","Acceptance of immigrants conditional on certain requisites","None","Penal proceedings","No proceedings","Policy Proposal","Welcome immigrants and organise human corridor","Past Political Experience","Approximately 10 years","No proceedings","Acceptance of immigrants conditional on certain requisites","Approximately 20 years","Penal proceedings","No proceedings","Policy Proposal","Collective expulsion of immigrants and closure of the border","Past Political Experience","Approximately 20 years","No proceedings","Collective expulsion of immigrants and closure of the border","Approximately 10 years",6.9,-0.477192784993047
"14",402,TRUE,"R_3dYzREw2apJjF1s","Candidate 1","Candidate 1","Candidate 1","6","1 - Strongly disagree","4 - Neither agree nor disagree","6","1 - Strongly disagree","3","Employed, full-time","Caucasian","Some high school","Female",32,"Regularly","Past Political Experience","Approximately 20 years","Policy Proposal","Welcome immigrants and organise human corridor","Penal proceedings","No proceedings","Approximately 20 years","Welcome immigrants and organise human corridor","The candidate is under investigation for corruption","Past Political Experience","Approximately 10 years","Policy Proposal","Collective expulsion of immigrants and closure of the border","Penal proceedings","The candidate has been convicted of corruption","Approximately 20 years","Acceptance of immigrants conditional on certain requisites","The candidate is under investigation for corruption","Past Political Experience","Approximately 20 years","Policy Proposal","Acceptance of immigrants conditional on certain requisites","Penal proceedings","No proceedings","Approximately 20 years","Welcome immigrants and organise human corridor","No proceedings",6.7,-0.491724881769084
"15",427,TRUE,"R_W0ZM8ONaJnsTUxr","Candidate 1","Candidate 1","Candidate 1","7 - Strongly agree","3","5","5","3","5","Unemployed","Caucasian","Bachelor degree","Female",58,"Never","Past Political Experience","Approximately 10 years","Policy Proposal","Acceptance of immigrants conditional on certain requisites","Penal proceedings","The candidate has been convicted of corruption","None","Collective expulsion of immigrants and closure of the border","The candidate has been convicted of corruption","Past Political Experience","Approximately 10 years","Policy Proposal","Acceptance of immigrants conditional on certain requisites","Penal proceedings","The candidate is under investigation for corruption","None","Collective expulsion of immigrants and closure of the border","The candidate is under investigation for corruption","Past Political Experience","None","Policy Proposal","Acceptance of immigrants conditional on certain requisites","Penal proceedings","The candidate is under investigation for corruption","None","Collective expulsion of immigrants and closure of the border","The candidate is under investigation for corruption",7.11666666666667,-0.461449680152341
"16",387,TRUE,"R_yX8KjXH5j18CMBX","Candidate 2","Candidate 2","Candidate 2","7 - Strongly agree","2","6","3","3","5","Employed, part time","Caucasian","Bachelor degree","Male",32,"Never","Penal proceedings","The candidate has been convicted of corruption","Policy Proposal","Collective expulsion of immigrants and closure of the border","Past Political Experience","Approximately 10 years","No proceedings","Welcome immigrants and organise human corridor","Approximately 20 years","Penal proceedings","No proceedings","Policy Proposal","Acceptance of immigrants conditional on certain requisites","Past Political Experience","Approximately 20 years","No proceedings","Welcome immigrants and organise human corridor","Approximately 20 years","Penal proceedings","The candidate has been convicted of corruption","Policy Proposal","Acceptance of immigrants conditional on certain requisites","Past Political Experience","Approximately 10 years","No proceedings","Welcome immigrants and organise human corridor","None",6.45,-0.50989000273913
"17",450,TRUE,"R_ewYlmzXaOYNbji1","Candidate 2","Candidate 2","Candidate 2","6","3","5","5","2","6","Student","Caucasian","Master degree","Male",33,"Never","Past Political Experience","None","Policy Proposal","Collective expulsion of immigrants and closure of the border","Penal proceedings","The candidate is under investigation for corruption","Approximately 10 years","Collective expulsion of immigrants and closure of the border","The candidate has been convicted of corruption","Past Political Experience","Approximately 20 years","Policy Proposal","Collective expulsion of immigrants and closure of the border","Penal proceedings","The candidate is under investigation for corruption","None","Collective expulsion of immigrants and closure of the border","No proceedings","Past Political Experience","Approximately 20 years","Policy Proposal","Collective expulsion of immigrants and closure of the border","Penal proceedings","The candidate is under investigation for corruption","Approximately 10 years","Welcome immigrants and organise human corridor","The candidate is under investigation for corruption",7.5,-0.433596494664937
"18",375,TRUE,"R_3jYx2GmS4Sz512g","Candidate 1","Candidate 2","Candidate 1","6","3","6","3","3","5","Student","Caucasian","Some high school","Male",19,"Regularly","Past Political Experience","Approximately 10 years","Policy Proposal","Welcome immigrants and organise human corridor","Penal proceedings","No proceedings","None","Welcome immigrants and organise human corridor","The candidate has been convicted of corruption","Past Political Experience","Approximately 10 years","Policy Proposal","Collective expulsion of immigrants and closure of the border","Penal proceedings","The candidate is under investigation for corruption","Approximately 10 years","Acceptance of immigrants conditional on certain requisites","The candidate has been convicted of corruption","Past Political Experience","None","Policy Proposal","Welcome immigrants and organise human corridor","Penal proceedings","The candidate has been convicted of corruption","None","Welcome immigrants and organise human corridor","The candidate has been convicted of corruption",6.25,-0.524422099515167
"19",406,TRUE,"R_1r2BzKmqRlcZbnl","Candidate 1","Candidate 2","Candidate 2","4 - Neither agree nor disagree","5","4 - Neither agree nor disagree","5","5","4 - Neither agree nor disagree","Employed, full-time","Caucasian","Some college","Female",28,"Regularly","Past Political Experience","Approximately 10 years","Penal proceedings","The candidate has been convicted of corruption","Policy Proposal","Acceptance of immigrants conditional on certain requisites","Approximately 10 years","The candidate is under investigation for corruption","Collective expulsion of immigrants and closure of the border","Past Political Experience","None","Penal proceedings","The candidate has been convicted of corruption","Policy Proposal","Acceptance of immigrants conditional on certain requisites","Approximately 10 years","No proceedings","Welcome immigrants and organise human corridor","Past Political Experience","None","Penal proceedings","The candidate is under investigation for corruption","Policy Proposal","Welcome immigrants and organise human corridor","Approximately 10 years","The candidate has been convicted of corruption","Acceptance of immigrants conditional on certain requisites",6.76666666666667,-0.486880849510405
"20",475,TRUE,"R_3huq5s55ozpXjJF","Candidate 1","Candidate 2","Candidate 1","6","3","4 - Neither agree nor disagree","5","3","6","Employed, full-time","Caucasian","Bachelor degree","Female",26,"Never","Policy Proposal","Collective expulsion of immigrants and closure of the border","Penal proceedings","The candidate is under investigation for corruption","Past Political Experience","Approximately 10 years","Collective expulsion of immigrants and closure of the border","The candidate is under investigation for corruption","None","Policy Proposal","Collective expulsion of immigrants and closure of the border","Penal proceedings","The candidate is under investigation for corruption","Past Political Experience","None","Welcome immigrants and organise human corridor","The candidate has been convicted of corruption","Approximately 20 years","Policy Proposal","Collective expulsion of immigrants and closure of the border","Penal proceedings","No proceedings","Past Political Experience","None","Acceptance of immigrants conditional on certain requisites","The candidate has been convicted of corruption","Approximately 10 years",7.91666666666667,-0.403321293048194
"21",331,TRUE,"R_3j6Avpy9Nz445e1","Candidate 2","Candidate 2","Candidate 1","7 - Strongly agree","1 - Strongly disagree","7 - Strongly agree","7 - Strongly agree","1 - Strongly disagree","7 - Strongly agree","Employed, full-time","Asian","Master degree","Female",52,"Sometimes","Past Political Experience","Approximately 10 years","Policy Proposal","Collective expulsion of immigrants and closure of the border","Penal proceedings","The candidate is under investigation for corruption","None","Acceptance of immigrants conditional on certain requisites","No proceedings","Past Political Experience","Approximately 20 years","Policy Proposal","Welcome immigrants and organise human corridor","Penal proceedings","The candidate has been convicted of corruption","Approximately 10 years","Acceptance of immigrants conditional on certain requisites","The candidate is under investigation for corruption","Past Political Experience","Approximately 10 years","Policy Proposal","Collective expulsion of immigrants and closure of the border","Penal proceedings","No proceedings","Approximately 10 years","Collective expulsion of immigrants and closure of the border","No proceedings",5.51666666666667,-0.577706454360635
"22",424,TRUE,"R_23agSZHiHRzCX4m","Candidate 1","Candidate 2","Candidate 1","7 - Strongly agree","4 - Neither agree nor disagree","5","4 - Neither agree nor disagree","4 - Neither agree nor disagree","5","Self-employed","Caucasian","Bachelor degree","Female",49,"Regularly","Penal proceedings","No proceedings","Policy Proposal","Acceptance of immigrants conditional on certain requisites","Past Political Experience","Approximately 10 years","The candidate is under investigation for corruption","Acceptance of immigrants conditional on certain requisites","Approximately 20 years","Penal proceedings","The candidate has been convicted of corruption","Policy Proposal","Acceptance of immigrants conditional on certain requisites","Past Political Experience","None","The candidate is under investigation for corruption","Acceptance of immigrants conditional on certain requisites","Approximately 20 years","Penal proceedings","The candidate has been convicted of corruption","Policy Proposal","Welcome immigrants and organise human corridor","Past Political Experience","Approximately 10 years","The candidate has been convicted of corruption","Acceptance of immigrants conditional on certain requisites","Approximately 10 years",7.06666666666667,-0.46508270434635
"23",519,TRUE,"R_9voL2pE5eP01aQ9","Candidate 1","Candidate 1","Candidate 2","6","3","6","3","2","7 - Strongly agree","Employed, full-time","African American","Some college","Female",27,"Never","Policy Proposal","Acceptance of immigrants conditional on certain requisites","Penal proceedings","No proceedings","Past Political Experience","Approximately 20 years","Acceptance of immigrants conditional on certain requisites","The candidate has been convicted of corruption","Approximately 20 years","Policy Proposal","Collective expulsion of immigrants and closure of the border","Penal proceedings","The candidate is under investigation for corruption","Past Political Experience","Approximately 20 years","Collective expulsion of immigrants and closure of the border","The candidate has been convicted of corruption","Approximately 10 years","Policy Proposal","Welcome immigrants and organise human corridor","Penal proceedings","The candidate has been convicted of corruption","Past Political Experience","Approximately 20 years","Welcome immigrants and organise human corridor","The candidate has been convicted of corruption","None",8.65,-0.350036938202726
"24",499,TRUE,"R_qXyl29wJBgDdhdL","Candidate 2","Candidate 2","Candidate 2","5","6","5","4 - Neither agree nor disagree","2","6","Employed, full-time","Caucasian","Bachelor degree","Male",33,"Sometimes","Past Political Experience","None","Penal proceedings","The candidate has been convicted of corruption","Policy Proposal","Collective expulsion of immigrants and closure of the border","None","The candidate is under investigation for corruption","Welcome immigrants and organise human corridor","Past Political Experience","Approximately 10 years","Penal proceedings","The candidate has been convicted of corruption","Policy Proposal","Welcome immigrants and organise human corridor","Approximately 10 years","The candidate is under investigation for corruption","Acceptance of immigrants conditional on certain requisites","Past Political Experience","Approximately 20 years","Penal proceedings","The candidate is under investigation for corruption","Policy Proposal","Collective expulsion of immigrants and closure of the border","Approximately 10 years","No proceedings","Acceptance of immigrants conditional on certain requisites",8.31666666666667,-0.37425709949612
"25",510,TRUE,"R_2cvdu0rrp1Y5ZTE","Candidate 2","Candidate 2","Candidate 2","7 - Strongly agree","1 - Strongly disagree","6","1 - Strongly disagree","4 - Neither agree nor disagree","7 - Strongly agree","Unemployed","Caucasian","Some college","Male",34,"Never","Past Political Experience","Approximately 10 years","Penal proceedings","The candidate is under investigation for corruption","Policy Proposal","Collective expulsion of immigrants and closure of the border","Approximately 20 years","No proceedings","Collective expulsion of immigrants and closure of the border","Past Political Experience","Approximately 20 years","Penal proceedings","The candidate has been convicted of corruption","Policy Proposal","Welcome immigrants and organise human corridor","None","No proceedings","Welcome immigrants and organise human corridor","Past Political Experience","Approximately 10 years","Penal proceedings","The candidate is under investigation for corruption","Policy Proposal","Welcome immigrants and organise human corridor","Approximately 20 years","The candidate has been convicted of corruption","Acceptance of immigrants conditional on certain requisites",8.5,-0.360936010784753
"26",441,TRUE,"R_3CWpbyYAtI63gLC","Candidate 1","Candidate 1","Candidate 1","7 - Strongly agree","5","6","5","3","5","Employed, full-time","Asian","Bachelor degree","Male",35,"Regularly","Policy Proposal","Acceptance of immigrants conditional on certain requisites","Penal proceedings","The candidate is under investigation for corruption","Past Political Experience","Approximately 10 years","Collective expulsion of immigrants and closure of the border","The candidate is under investigation for corruption","Approximately 10 years","Policy Proposal","Acceptance of immigrants conditional on certain requisites","Penal proceedings","The candidate is under investigation for corruption","Past Political Experience","Approximately 20 years","Collective expulsion of immigrants and closure of the border","No proceedings","Approximately 10 years","Policy Proposal","Acceptance of immigrants conditional on certain requisites","Penal proceedings","No proceedings","Past Political Experience","None","Welcome immigrants and organise human corridor","The candidate has been convicted of corruption","Approximately 20 years",7.35,-0.444495567246965
"27",411,TRUE,"R_2yjheMVn3azhH9k","Candidate 2","Candidate 2","Candidate 1","6","1 - Strongly disagree","5","5","5","3","Employed, full-time","Caucasian","Master degree","Male",24,"Never","Penal proceedings","The candidate has been convicted of corruption","Past Political Experience","None","Policy Proposal","Collective expulsion of immigrants and closure of the border","The candidate has been convicted of corruption","Approximately 20 years","Collective expulsion of immigrants and closure of the border","Penal proceedings","The candidate is under investigation for corruption","Past Political Experience","Approximately 20 years","Policy Proposal","Acceptance of immigrants conditional on certain requisites","No proceedings","Approximately 20 years","Acceptance of immigrants conditional on certain requisites","Penal proceedings","No proceedings","Past Political Experience","Approximately 20 years","Policy Proposal","Welcome immigrants and organise human corridor","The candidate is under investigation for corruption","Approximately 10 years","Welcome immigrants and organise human corridor",6.85,-0.480825809187057
"28",450,TRUE,"R_2uWCevsiWvWCh53","Candidate 2","Candidate 1","Candidate 1","7 - Strongly agree","1 - Strongly disagree","5","5","4 - Neither agree nor disagree","5","Employed, full-time","Caucasian","Bachelor degree","Male",32,"Regularly","Past Political Experience","Approximately 10 years","Penal proceedings","The candidate is under investigation for corruption","Policy Proposal","Welcome immigrants and organise human corridor","Approximately 20 years","The candidate is under investigation for corruption","Welcome immigrants and organise human corridor","Past Political Experience","Approximately 20 years","Penal proceedings","No proceedings","Policy Proposal","Acceptance of immigrants conditional on certain requisites","None","The candidate has been convicted of corruption","Acceptance of immigrants conditional on certain requisites","Past Political Experience","Approximately 10 years","Penal proceedings","No proceedings","Policy Proposal","Collective expulsion of immigrants and closure of the border","None","The candidate has been convicted of corruption","Collective expulsion of immigrants and closure of the border",7.5,-0.433596494664937
"29",336,TRUE,"R_1eOUDxFbtXJEU6N","Candidate 1","Candidate 1","Candidate 1","6","3","5","3","5","6","Prefer not to answer","Caucasian","Some college","Female",35,"Never","Penal proceedings","No proceedings","Past Political Experience","None","Policy Proposal","Welcome immigrants and organise human corridor","The candidate has been convicted of corruption","Approximately 10 years","Welcome immigrants and organise human corridor","Penal proceedings","No proceedings","Past Political Experience","Approximately 20 years","Policy Proposal","Welcome immigrants and organise human corridor","The candidate has been convicted of corruption","None","Welcome immigrants and organise human corridor","Penal proceedings","The candidate is under investigation for corruption","Past Political Experience","None","Policy Proposal","Acceptance of immigrants conditional on certain requisites","The candidate is under investigation for corruption","None","Acceptance of immigrants conditional on certain requisites",5.6,-0.571651414037286
"30",399,TRUE,"R_2YoevbNWLjVV8iI","Candidate 1","Candidate 2","Candidate 1","4 - Neither agree nor disagree","4 - Neither agree nor disagree","4 - Neither agree nor disagree","4 - Neither agree nor disagree","4 - Neither agree nor disagree","4 - Neither agree nor disagree","Self-employed","Caucasian","High school degree/ GED","Male",36,"Never","Policy Proposal","Welcome immigrants and organise human corridor","Penal proceedings","The candidate is under investigation for corruption","Past Political Experience","Approximately 10 years","Acceptance of immigrants conditional on certain requisites","The candidate has been convicted of corruption","Approximately 20 years","Policy Proposal","Collective expulsion of immigrants and closure of the border","Penal proceedings","The candidate is under investigation for corruption","Past Political Experience","Approximately 20 years","Acceptance of immigrants conditional on certain requisites","The candidate is under investigation for corruption","Approximately 10 years","Policy Proposal","Collective expulsion of immigrants and closure of the border","Penal proceedings","No proceedings","Past Political Experience","Approximately 20 years","Welcome immigrants and organise human corridor","The candidate is under investigation for corruption","Approximately 20 years",6.65,-0.495357905963093
"31",473,TRUE,"R_DuBeKjazu7Qkfmh","Candidate 2","Candidate 1","Candidate 2","5","3","2","5","4 - Neither agree nor disagree","7 - Strongly agree","Self-employed","Caucasian","Some college","Male",22,"Never","Policy Proposal","Acceptance of immigrants conditional on certain requisites","Past Political Experience","None","Penal proceedings","The candidate is under investigation for corruption","Collective expulsion of immigrants and closure of the border","Approximately 20 years","No proceedings","Policy Proposal","Collective expulsion of immigrants and closure of the border","Past Political Experience","Approximately 20 years","Penal proceedings","The candidate is under investigation for corruption","Collective expulsion of immigrants and closure of the border","Approximately 20 years","The candidate is under investigation for corruption","Policy Proposal","Welcome immigrants and organise human corridor","Past Political Experience","Approximately 20 years","Penal proceedings","The candidate has been convicted of corruption","Acceptance of immigrants conditional on certain requisites","Approximately 10 years","The candidate is under investigation for corruption",7.88333333333333,-0.405743309177533
"32",403,TRUE,"R_2fdEGtlZ1WtKqVk","Candidate 2","Candidate 2","Candidate 1","3","2","6","3","2","6","Retired","Caucasian","Bachelor degree","Male",59,"Never","Past Political Experience","Approximately 20 years","Penal proceedings","No proceedings","Policy Proposal","Collective expulsion of immigrants and closure of the border","Approximately 10 years","The candidate has been convicted of corruption","Acceptance of immigrants conditional on certain requisites","Past Political Experience","Approximately 10 years","Penal proceedings","No proceedings","Policy Proposal","Collective expulsion of immigrants and closure of the border","None","No proceedings","Welcome immigrants and organise human corridor","Past Political Experience","Approximately 10 years","Penal proceedings","The candidate has been convicted of corruption","Policy Proposal","Collective expulsion of immigrants and closure of the border","Approximately 10 years","The candidate has been convicted of corruption","Collective expulsion of immigrants and closure of the border",6.71666666666667,-0.490513873704414
